release 1.3 | Y2JB 1.3 (deprecated) | 2026-05-25
release 1.5 | Y2JB 1.5 (deprecated) | 2026-05-22
release 1.6 | Y2JB 1.6 | 2026-06-09
release 2 | Y2JB-P2JB V2 | 2026-05-22
release 2.0 | BD-JB5 2.0 | 2026-08-04
release 2.1 | Y2JB-P2JB V2.1 | 2026-05-22
release 2.2 | Y2JB-P2JB V2.2 | 2026-05-23
release 2.3 | Y2JB-P2JB V2.3 | 2026-05-24
release 2.4 | Y2JB-P2JB V2.4 | 2026-05-24
release 2.5 | Y2JB-P2JB V2.5 | 2026-05-25
release 2.5.1 | Y2JB-P2JB V2.5.1 | 2026-05-25
release 2.5.2 | Y2JB-P2JB V2.5.2 - Y2JB 1.3 PROT_EXEC fix | 2026-05-25
release 2.6 | Y2JB-P2JB V2.6 - Y2JB 1.5 support | 2026-05-25
repo Bobas81/Dashboard-F1-2025 | Dashboard F1 2025 PS5
repo CCKPB0866/PS5-Slopkit | PS5 WebKit Jailbreak Host
repo CarlosNacher/ps5-tracker | WebAPP to follow prices of PS5 and send alerts to Telegram
repo CaseyCZ/GameS-Calendar-Website | GameS-Calendar
repo DanielErikssonCoder/omarchy-ps5-firmware | Watch the PlayStation 5 firmware manifests from the Omarchy bar: one notification, updated in place, only when something actually changes. Unofficial, not affiliated with Sony.
repo Dudaaa357/trophy-unifier-stack-cleanser | PSN Trophy Tracker 2026 Guide: Best Stack Merging & Unobtainable Removal Leaderboards
repo EchoStretch/BackPork | Lets you sideload system libraries into PS5 games
repo EchoStretch/Byepervisor | A PS5 hypervisor exploit for 1.xx-2xx firmwares.
repo EchoStretch/ESP32-Server-900u | 900 with usb emulation
repo EchoStretch/FTPS5 | FTP For The PS5 Webkit 3.XX / 4.XX
repo EchoStretch/GoldHEN_Cheat_Repository | 
repo EchoStretch/HexForge | This IDA plugin extends the functionality of the assembly and hex view. With this plugin, you can conveniently decode/decrypt/alter data directly from the IDA Pro interface. 
repo EchoStretch/Icon-Mask | King Lapy Source Code For Icon Mask
repo EchoStretch/PI-Pwn | pppwn
repo EchoStretch/PPPwn | PPPwn - PlayStation 4 PPPoE RCE
repo EchoStretch/PS4_Debug | This repository contains my own version of the system FW 5.05, 6.72, and 7.00 to 11.00 port of ps4debug, ported by EchoStretch. This version will be maintained and worked on by me.
repo EchoStretch/PS5-IPV6-Kernel-Exploit | An experimental webkit-based kernel exploit (Arb. R/W) for the PS5 on <= 4.51FW
repo EchoStretch/PS5-SELF-Decrypter | A portable payload to decrypt PS5 SELF files from the filesystem to USB drive
repo EchoStretch/PS5-Server | ESP8266
repo EchoStretch/PS5-Server32 | ESP32
repo EchoStretch/PS5-UMTX-Jailbreak | A webkit-based kernel exploit and jailbreak for PS5
repo EchoStretch/PS5-kdata-dumper | 
repo EchoStretch/PS5FTP | PS5 FTP With Decrypt
